"activityname" "subject" "mean" "n"
"LAYING" 1 -0.681581978523055 3300
"LAYING" 2 -0.743126753233842 3168
"LAYING" 3 -0.734347688677236 4092
"LAYING" 4 -0.728668034663377 3564
"LAYING" 5 -0.739085358855865 3432
"LAYING" 6 -0.714481502407656 3762
"LAYING" 7 -0.723857064735047 3432
"LAYING" 8 -0.722406520353446 3564
"LAYING" 9 -0.726146510489097 3300
"LAYING" 10 -0.751454042087244 3828
"LAYING" 11 -0.739250481303299 3762
"LAYING" 12 -0.72760644728624 3960
"LAYING" 13 -0.731168410513377 4092
"LAYING" 14 -0.706780359580511 3366
"LAYING" 15 -0.732694054370465 4752
"LAYING" 16 -0.743287358888657 4620
"LAYING" 17 -0.731324690617382 4686
"LAYING" 18 -0.746133039821382 4290
"LAYING" 19 -0.742143249540819 5478
"LAYING" 20 -0.737847526254904 4488
"LAYING" 21 -0.729316795500066 5940
"LAYING" 22 -0.718920180798411 4752
"LAYING" 23 -0.738453366680006 4752
"LAYING" 24 -0.738162801094621 4752
"LAYING" 25 -0.6550466559966 4818
"LAYING" 26 -0.744683873718817 5016
"LAYING" 27 -0.747039773104429 4884
"LAYING" 28 -0.749711337306598 5280
"LAYING" 29 -0.747047283845479 4554
"LAYING" 30 -0.73371945664569 4620
"SITTING" 1 -0.725010256710861 3102
"SITTING" 2 -0.737361985616243 3036
"SITTING" 3 -0.707845449974583 3432
"SITTING" 4 -0.717843420704141 3300
"SITTING" 5 -0.71816250875378 2904
"SITTING" 6 -0.7166252231237 3630
"SITTING" 7 -0.712354376735631 3168
"SITTING" 8 -0.72745694109493 3036
"SITTING" 9 -0.704523755500333 3300
"SITTING" 10 -0.73712845579557 3564
"SITTING" 11 -0.730213416461106 3498
"SITTING" 12 -0.727919507003818 3366
"SITTING" 13 -0.735239423441511 3234
"SITTING" 14 -0.730278809106672 3564
"SITTING" 15 -0.733838697315558 3894
"SITTING" 16 -0.734763414612203 4554
"SITTING" 17 -0.747004627057666 4224
"SITTING" 18 -0.743850843467203 3762
"SITTING" 19 -0.728175891288928 4818
"SITTING" 20 -0.726102407642704 4356
"SITTING" 21 -0.743125990670937 5610
"SITTING" 22 -0.720164924412542 4092
"SITTING" 23 -0.726113491116866 4488
"SITTING" 24 -0.737144249115584 4488
"SITTING" 25 -0.737614646951336 4290
